"","loc_latitude","loc_longitude","pronoun","sexual_orientation","race","age","education","employment_status","location","attention_check","assignment","source","friendly","positive","sincere","comfortable","work_with","situation","peers","others_above","others_below","externally","hardworking","knowledgeable","motivated","leadership","project","warmth","professionalism","competence","perception"
"16",29.73500061,-95.41179657,"He/his","Heterosexual","White","22 - 30","Some undergraduate college or post-secondary school","Employed - Part Time","Southwestern United States","Strongly Disagree","Treatment","AWS",6,6,6,5,5,5,5,3,6,3,5,5,5,5,5,5.6,4.4,5,5
"17",13.08430481,80.28048706,"He/his","Bisexual","Asian/Asian American","22 - 30","Master's Degree","Employed - Full Time","Northeastern United States","Strongly Disagree","Control","AWS",5,6,3,6,3,5,3,3,5,5,2,2,5,3,4,4.6,4.2,3.2,4
"18",8.880599976,76.59170532,"They/theirs","Heterosexual","Hispanic/Latino","22 - 30","Master's Degree","Employed - Full Time","Southeastern United States","Strongly Disagree","Control","AWS",5,6,5,6,6,6,5,6,5,5,6,5,5,5,6,5.6,5.4,5.4,5.46666666666667
"19",37.79060364,-122.2411957,"She/hers","Heterosexual","White","41 - 50","Ph. D.","Student","Western United States","Strongly Disagree","Treatment","MIDS",6,5,5,6,5,6,7,3,6,2,5,5,4,5,5,5.4,4.8,4.8,5
"20",40.98599243,-75.24359894,"She/hers","Heterosexual","Asian/Asian American","22 - 30","High School/GED","Employed - Full Time","Northeastern United States","Strongly Disagree","Treatment","AWS",4,4,5,5,4,4,5,3,5,5,5,4,4,4,5,4.4,4.4,4.4,4.4
"21",40.81419373,-81.93869781,"She/hers","Bisexual","White","51 - 60","High School/GED","Employed - Full Time","Midwestern United States","Strongly Disagree","Treatment","AWS",7,7,6,6,5,6,6,3,6,5,6,6,6,5,5,6.2,5.2,5.6,5.66666666666667
"22",41.87440491,-87.81060028,"He/his","Heterosexual","Asian/Asian American","22 - 30","Some graduate college","Employed - Full Time","Midwestern United States","Strongly Disagree","Treatment","MIDS",7,7,5,6,5,5,6,1,2,1,4,3,6,4,5,6,3,4.4,4.46666666666667
"23",43.64259338,-79.40019989,"He/his","Heterosexual","Middle Eastern/Southwest Asian","41 - 50","Master's Degree","Employed - Full Time","Not located in United States","Strongly Disagree","Control","MIDS",6,4,4,4,4,6,6,6,6,6,4,4,4,4,4,4.4,6,4,4.8
"24",40.3052063,-79.54180145,"She/hers","Heterosexual","White","31 - 40","Bachelor's Degree","Employed - Full Time","Northeastern United States","Strongly Disagree","Control","AWS",6,7,7,7,6,7,7,7,7,7,6,7,7,7,5,6.6,7,6.4,6.66666666666667
"25",42.88609314,-78.74569702,"He/his","Heterosexual","White","22 - 30","High School/GED","Employed - Full Time","Northeastern United States","Strongly Disagree","Treatment","AWS",7,7,7,7,7,7,7,6,6,4,6,7,7,7,7,7,6,6.8,6.6
"26",40.60020447,-74.14689636,"He/his","Heterosexual","White","22 - 30","Bachelor's Degree","Employed - Full Time","Northeastern United States","Strongly Disagree","Control","AWS",5,6,6,6,4,6,2,6,2,2,6,6,6,5,4,5.4,3.6,5.4,4.8
"27",43.01100159,-71.45709991,"He/his","Heterosexual","White","31 - 40","Some undergraduate college or post-secondary school","Employed - Full Time","Northeastern United States","Strongly Disagree","Treatment","AWS",5,5,3,4,4,3,2,2,1,1,5,6,5,3,4,4.2,1.8,4.6,3.53333333333333
"28",-22,-49,"He/his","Heterosexual","Hispanic/Latino,White","31 - 40","Master's Degree","Employed - Full Time","Not located in United States","Strongly Disagree","Control","MIDS",6,5,6,4,5,6,7,5,6,4,4,6,5,4,4,5.2,5.6,4.6,5.13333333333333
"29",30.71870422,-97.75330353,"He/his","Heterosexual","Native American/Alaskan Native","31 - 40","Bachelor's Degree","Employed - Full Time","Midwestern United States","Strongly Disagree","Treatment","AWS",7,6,5,6,4,3,3,1,2,3,5,5,4,3,3,5.6,2.4,4,4
"30",40.61480713,-89.46040344,"He/his","Heterosexual","White","51 - 60","Bachelor's Degree","Employed - Full Time","Midwestern United States","Strongly Disagree","Treatment","AWS",3,4,4,5,2,2,3,1,6,2,5,7,5,6,2,3.6,2.8,5,3.8
"31",37.30290222,-79.93219757,"She/hers","Gay/Lesbian","White","51 - 60","Master's Degree","Employed - Full Time","Southeastern United States","Strongly Disagree","Treatment","AWS",6,6,6,6,5,3,3,3,3,1,6,6,6,5,5,5.8,2.6,5.6,4.66666666666667
"32",37.98950195,-121.8022995,"He/his","Heterosexual","Hispanic/Latino","31 - 40","Ph. D.","Employed - Full Time","Western United States","Strongly Disagree","Treatment","MIDS",3,3,5,3,3,3,3,1,3,3,3,3,3,2,3,3.4,2.6,2.8,2.93333333333333
"33",42.2973938,-71.07219696,"He/his","Heterosexual","White","Over 60","Bachelor's Degree","Employed - Full Time","Southeastern United States","Strongly Disagree","Treatment","AWS",4,5,5,4,2,2,2,1,1,1,5,5,5,2,2,4,1.4,3.8,3.06666666666667
"34",-15.77920532,-47.93409729,"He/his","Heterosexual","Hispanic/Latino","51 - 60","Bachelor's Degree","Employed - Part Time","Not located in United States","Strongly Disagree","Control","AWS",4,7,7,7,6,6,5,4,6,5,5,7,6,7,6,6.2,5.2,6.2,5.86666666666667
"35",13.08430481,80.28048706,"He/his","Asexual","Asian/Asian American","22 - 30","Bachelor's Degree","Employed - Full Time","","Strongly Disagree","Control","AWS",7,6,6,6,6,5,6,6,7,6,7,7,6,5,6,6.2,6,6.2,6.13333333333333
"36",40.12150574,-75.32689667,"She/hers","Heterosexual","White","22 - 30","Master's Degree","Employed - Full Time","Northeastern United States","Strongly Disagree","Control","AWS",6,7,6,6,6,6,6,6,6,3,6,6,4,6,6,6.2,5.4,5.6,5.73333333333333
"37",10.99099731,76.96670532,"He/his","Bisexual","Middle Eastern/Southwest Asian","22 - 30","Bachelor's Degree","Employed - Full Time","Not located in United States","Strongly Disagree","Control","AWS",6,5,6,5,5,3,4,4,4,5,6,7,3,6,4,5.4,4,5.2,4.86666666666667
"38",52.08149719,4.332595825,"She/hers","Heterosexual","White","22 - 30","Bachelor's Degree","Unemployed","Not located in United States","Strongly Disagree","Control","AWS",6,4,5,5,4,6,6,1,7,1,4,5,5,4,4,4.8,4.2,4.4,4.46666666666667
"39",39.73880005,-104.9868011,"He/his","Heterosexual","White","22 - 30","Some graduate college","Employed - Full Time","Northeastern United States","Strongly Disagree","Treatment","AWS",4,5,6,5,6,6,6,6,5,5,5,5,6,6,5,5.2,5.6,5.4,5.4
"40",41.84829712,-87.65170288,"She/hers","Heterosexual","Asian/Asian American","22 - 30","Some graduate college","Employed - Full Time","Southwestern United States","Strongly Disagree","Treatment","MIDS",7,7,6,7,3,3,7,1,2,1,4,6,6,2,6,6,2.8,4.8,4.53333333333333
"41",41.02099609,-78.4434967,"He/his","Heterosexual","White,Decline to state","31 - 40","Bachelor's Degree","Employed - Full Time","Northeastern United States","Strongly Disagree","Treatment","AWS",6,6,5,5,6,5,6,3,6,2,6,6,6,4,5,5.6,4.4,5.4,5.13333333333333
"42",34.7769928,-77.37689972,"She/hers","Heterosexual","African-American/Black","31 - 40","Bachelor's Degree","Unemployed","Southeastern United States","Strongly Disagree","Treatment","AWS",6,7,6,6,6,6,4,3,6,3,7,6,6,7,6,6.2,4.4,6.4,5.66666666666667
"43",13.08430481,80.28048706,"He/his","Heterosexual","Asian/Asian American","22 - 30","Bachelor's Degree","Employed - Full Time","Northeastern United States","Strongly Disagree","Treatment","AWS",5,6,6,5,7,5,5,6,5,5,6,5,6,5,6,5.8,5.2,5.6,5.53333333333333
"44",35.02780151,-85.14610291,"He/his","Heterosexual","White","22 - 30","Bachelor's Degree","Employed - Full Time","Southeastern United States","Strongly Disagree","Control","AWS",4,5,4,5,6,5,5,6,6,5,5,5,6,4,4,4.8,5.4,4.8,5
"45",28.54640198,-81.25849915,"He/his","Heterosexual","White","22 - 30","Master's Degree","Employed - Full Time","Southeastern United States","Strongly Disagree","Treatment","MIDS",7,7,6,7,6,6,5,2,2,1,6,6,6,6,6,6.6,3.2,6,5.26666666666667
"46",13.08430481,80.28048706,"He/his","Asexual","Asian/Asian American","22 - 30","Master's Degree","Employed - Full Time","Northeastern United States","Strongly Disagree","Treatment","AWS",6,5,5,6,5,6,6,5,5,5,6,6,5,6,6,5.4,5.4,5.8,5.53333333333333
"47",34.83079529,-82.35070038,"He/his","Heterosexual","White","31 - 40","Bachelor's Degree","Employed - Full Time","Southeastern United States","Strongly Disagree","Control","AWS",6,5,5,5,3,3,6,4,6,5,5,6,6,4,3,4.8,4.8,4.8,4.8
"48",42.94689941,-85.62059784,"He/his","Heterosexual","White","22 - 30","Bachelor's Degree","Employed - Full Time","Midwestern United States","Strongly Disagree","Treatment","AWS",7,7,6,6,6,5,3,3,3,3,6,6,6,4,6,6.4,3.4,5.6,5.13333333333333
"49",41.69039917,-87.61569977,"He/his","Heterosexual","African-American/Black","31 - 40","Bachelor's Degree","Employed - Full Time","Midwestern United States","Strongly Disagree","Control","AWS",2,5,1,2,3,6,6,7,2,5,3,4,4,2,3,2.6,5.2,3.2,3.66666666666667
"50",13.08430481,80.28048706,"He/his","Bisexual","Asian/Asian American","22 - 30","Bachelor's Degree","Employed - Full Time","Not located in United States","Strongly Disagree","Treatment","AWS",7,7,7,7,7,6,6,7,6,6,7,7,5,7,6,7,6.2,6.4,6.53333333333333
"51",37.75100708,-97.8219986,"He/his","Heterosexual","White","22 - 30","Bachelor's Degree","Employed - Full Time","Northeastern United States","Strongly Disagree","Control","AWS",4,3,5,3,3,4,5,6,3,3,3,5,5,5,4,3.6,4.2,4.4,4.06666666666667
"52",42.09300232,-79.2440033,"She/hers","Bisexual","White","31 - 40","Some undergraduate college or post-secondary school","Employed - Full Time","Northeastern United States","Strongly Disagree","Treatment","AWS",5,5,5,2,4,1,5,3,5,1,4,4,5,4,4,4.2,3,4.2,3.8
"53",13.08430481,80.28048706,"He/his","Heterosexual","Native American/Alaskan Native","22 - 30","Bachelor's Degree","Employed - Full Time","Southwestern United States","Strongly Disagree","Control","AWS",6,7,7,5,5,5,5,4,6,7,4,4,5,5,6,6,5.4,4.8,5.4
"54",40.39259338,-79.90519714,"She/hers","Heterosexual","White","51 - 60","High School/GED","Employed - Part Time","Northeastern United States","Strongly Disagree","Treatment","AWS",6,6,6,6,6,6,5,5,6,5,5,5,6,5,6,6,5.4,5.4,5.6
"55",13.08430481,80.28048706,"He/his","Bisexual","Asian/Asian American","22 - 30","Bachelor's Degree","Employed - Full Time","Not located in United States","Strongly Disagree","Control","AWS",6,6,5,5,6,6,6,5,6,6,5,7,7,7,6,5.6,5.8,6.4,5.93333333333333
"56",13.08430481,80.28048706,"They/theirs","Bisexual","Asian/Asian American","22 - 30","Bachelor's Degree","Employed - Full Time","Southeastern United States","Strongly Disagree","Treatment","AWS",5,5,5,5,6,6,5,5,6,6,5,5,6,6,6,5.2,5.6,5.6,5.46666666666667
"57",-3.372802734,-39.56219482,"She/hers","Heterosexual","Hispanic/Latino","31 - 40","Master's Degree","Employed - Part Time","Not located in United States","Strongly Disagree","Treatment","AWS",4,4,3,4,4,3,2,1,2,1,4,4,4,3,3,3.8,1.8,3.6,3.06666666666667
"58",41.03109741,21.34030151,"He/his","Heterosexual","White","31 - 40","Master's Degree","Employed - Part Time","Not located in United States","Strongly Disagree","Control","AWS",6,5,4,5,5,5,6,5,6,5,5,5,6,5,5,5,5.4,5.2,5.2
"59",9.966705322,76.23330688,"He/his","Bisexual","Asian/Asian American","22 - 30","Bachelor's Degree","Employed - Full Time","Not located in United States","Strongly Disagree","Treatment","AWS",7,6,6,7,6,7,6,6,7,7,6,6,7,7,6,6.4,6.6,6.4,6.46666666666667
"60",47.49729919,-122.3554993,"He/his","Heterosexual","White","41 - 50","Master's Degree","Employed - Full Time","Western United States","Strongly Disagree","Treatment","MIDS",5,5,4,3,4,5,6,2,3,2,5,5,6,3,2,4.2,3.6,4.2,4
"61",56,-3.766693115,"She/hers","Heterosexual","White","22 - 30","Some undergraduate college or post-secondary school","Student","Not located in United States","Strongly Disagree","Control","AWS",5,3,4,3,2,5,5,1,5,1,4,5,5,4,3,3.4,3.4,4.2,3.66666666666667
"62",13.08430481,80.28048706,"He/his","Bisexual","Asian/Asian American","22 - 30","Bachelor's Degree","Employed - Full Time","Not located in United States","Strongly Disagree","Control","AWS",5,6,6,5,5,6,6,5,5,6,6,6,5,5,5,5.4,5.6,5.4,5.46666666666667
"63",48.70480347,-95.75039673,"He/his","Heterosexual","White","31 - 40","High School/GED","Employed - Full Time","Midwestern United States","Strongly Disagree","Control","AWS",5,5,5,3,3,5,5,1,5,5,5,6,6,3,2,4.2,4.2,4.4,4.26666666666667
"64",37.35220337,-121.9582977,"He/his","Heterosexual","Asian/Asian American","22 - 30","Some graduate college","Employed - Full Time","Western United States","Strongly Disagree","Treatment","MIDS",4,5,4,4,3,3,1,2,2,1,4,4,4,3,4,4,1.8,3.8,3.2
"65",8.193893433,77.43139648,"She/hers","Heterosexual","Asian/Asian American","22 - 30","Bachelor's Degree","Employed - Full Time","Southeastern United States","Strongly Disagree","Treatment","AWS",6,6,6,6,6,6,6,6,6,6,6,7,5,7,6,6,6,6.2,6.06666666666667
"66",37.75100708,-97.8219986,"She/hers","Heterosexual","White","41 - 50","High School/GED","Employed - Full Time","Northeastern United States","Strongly Disagree","Treatment","AWS",7,7,5,5,6,4,5,1,7,1,5,4,4,5,5,6,3.6,4.6,4.73333333333333
"67",41.07679749,-73.48529816,"She/hers","Heterosexual","White","22 - 30","Some undergraduate college or post-secondary school","Employed - Full Time","Northeastern United States","Strongly Disagree","Control","AWS",5,6,6,5,6,7,7,7,7,6,7,7,7,7,6,5.6,6.8,6.8,6.4
"68",26.25,77.3999939,"He/his","Heterosexual","Asian/Asian American","22 - 30","Bachelor's Degree","Employed - Full Time","Not located in United States","Strongly Disagree","Treatment","AWS",6,5,5,6,5,5,5,3,6,3,3,6,3,3,5,5.4,4.4,4,4.6
"69",23.75180054,90.42541504,"He/his","Heterosexual","Asian/Asian American","22 - 30","Bachelor's Degree","Employed - Part Time,Student","Western United States","Strongly Disagree","Control","AWS",6,6,6,6,6,6,5,5,5,5,6,6,6,6,6,6,5.2,6,5.73333333333333
"70",13.08430481,80.28048706,"He/his","Bisexual","Asian/Asian American","22 - 30","Bachelor's Degree","Employed - Full Time","Southwestern United States","Strongly Disagree","Treatment","AWS",5,6,5,5,6,6,7,6,6,6,5,5,7,6,7,5.4,6.2,6,5.86666666666667
"71",13.08430481,80.28048706,"He/his","Heterosexual","Asian/Asian American","22 - 30","Bachelor's Degree","Employed - Full Time","Not located in United States","Strongly Disagree","Treatment","AWS",6,6,6,6,6,5,5,6,6,6,6,6,5,6,6,6,5.6,5.8,5.8
"72",10.99099731,76.96670532,"He/his","Bisexual","White","22 - 30","Bachelor's Degree","Employed - Full Time","Western United States","Strongly Disagree","Treatment","AWS",6,4,6,4,3,4,4,5,3,3,5,6,5,6,5,4.6,3.8,5.4,4.6
"73",13.08430481,80.28048706,"She/hers","Bisexual","White","22 - 30","Bachelor's Degree","Employed - Full Time","Southeastern United States","Strongly Disagree","Treatment","AWS",5,6,6,6,6,5,5,5,6,6,5,5,6,6,5,5.8,5.4,5.4,5.53333333333333
"74",37.68640137,-121.7653961,"She/hers","Heterosexual","White","31 - 40","Ph. D.","Employed - Full Time","Western United States","Strongly Disagree","Control","MIDS",4,4,4,4,3,3,3,1,5,2,5,4,4,4,3,3.8,2.8,4,3.53333333333333
"75",37.75100708,-97.8219986,"He/his","Heterosexual","White","31 - 40","Master's Degree","Employed - Full Time","Southeastern United States","Strongly Disagree","Treatment","AWS",5,6,5,6,4,5,5,5,5,5,6,5,5,6,6,5.2,5,5.6,5.26666666666667
"76",37.87669373,-122.267601,"He/his","Heterosexual","White","31 - 40","Ph. D.","Employed - Full Time","Western United States","Strongly Disagree","Control","MIDS",4,4,6,4,5,6,6,6,6,6,6,6,6,5,6,4.6,6,5.8,5.46666666666667
"77",13.08430481,80.28048706,"He/his","Bisexual","Asian/Asian American","31 - 40","Bachelor's Degree","Employed - Full Time","Western United States","Strongly Disagree","Control","AWS",7,7,7,7,7,6,7,6,6,7,7,7,6,7,6,7,6.4,6.6,6.66666666666667
"78",40.76530457,-73.95890045,"He/his","Heterosexual","White","41 - 50","High School/GED","Employed - Full Time","Southeastern United States","Strongly Disagree","Treatment","AWS",6,6,5,6,5,6,5,6,5,5,6,5,6,6,6,5.6,5.4,5.8,5.6
"79",25.94360352,-80.22640228,"He/his","Heterosexual","African-American/Black","22 - 30","Bachelor's Degree","Employed - Full Time","Southeastern United States","Strongly Disagree","Control","AWS",5,6,6,6,6,6,6,7,7,4,6,6,6,6,4,5.8,6,5.6,5.8
"80",40.78900146,-76.55879974,"She/hers","Heterosexual","White","41 - 50","Some undergraduate college or post-secondary school","Employed - Full Time","Northeastern United States","Strongly Disagree","Control","AWS",5,4,6,6,4,6,6,6,6,5,4,5,5,6,5,5,5.8,5,5.26666666666667
"81",11.3500061,77.73330688,"They/theirs","Bisexual","Hispanic/Latino","22 - 30","Bachelor's Degree","Employed - Full Time","Southwestern United States","Strongly Disagree","Treatment","AWS",7,6,6,6,7,5,6,6,5,7,7,4,5,5,6,6.4,5.8,5.4,5.86666666666667
"82",50.21069336,8.580505371,"She/hers","Asexual","White","31 - 40","High School/GED","Retired","Not located in United States","Strongly Disagree","Treatment","AWS",3,3,4,1,1,2,2,1,2,2,5,6,5,1,1,2.4,1.8,3.6,2.6
"83",43.60549927,-84.77960205,"She/hers","Heterosexual","White","41 - 50","High School/GED","Employed - Full Time","Midwestern United States","Strongly Disagree","Treatment","AWS",7,6,4,1,3,1,1,1,1,1,3,4,2,1,1,4.2,1,2.2,2.46666666666667
"84",20,77,"He/his","Heterosexual","Asian/Asian American","22 - 30","Some graduate college","Employed - Full Time","Southeastern United States","Strongly Disagree","Treatment","AWS",6,6,5,6,6,6,6,4,6,3,5,6,6,6,5,5.8,5,5.6,5.46666666666667
"85",22.30070496,73.20280457,"He/his","Heterosexual","Middle Eastern/Southwest Asian","41 - 50","Bachelor's Degree","Employed - Full Time","Not located in United States","Strongly Disagree","Control","AWS",7,7,7,6,7,7,7,6,6,6,7,6,7,7,7,6.8,6.4,6.8,6.66666666666667
"86",45.61239624,9.239807129,"He/his","Heterosexual","White","31 - 40","Master's Degree","Employed - Full Time","Not located in United States","Strongly Disagree","Treatment","AWS",7,5,5,6,5,3,6,1,7,1,6,7,5,6,5,5.6,3.6,5.8,5
"87",41.71389771,-71.38950348,"She/hers","Heterosexual","White","22 - 30","Some undergraduate college or post-secondary school","Unemployed","Northeastern United States","Strongly Disagree","Treatment","AWS",4,4,1,2,1,1,1,1,1,1,1,2,2,1,1,2.4,1,1.4,1.6
"88",41.53869629,-75.94660187,"He/his","Heterosexual","White","31 - 40","High School/GED","Employed - Full Time","Northeastern United States","Strongly Disagree","Control","AWS",4,5,4,6,4,6,6,6,6,6,4,4,4,4,4,4.6,6,4,4.86666666666667
"89",42.4960022,-84.08470154,"She/hers","Heterosexual","White","Over 60","Some undergraduate college or post-secondary school","Employed - Full Time","Midwestern United States","Strongly Disagree","Treatment","AWS",5,5,5,3,4,5,4,2,3,2,5,4,5,2,4,4.4,3.2,4,3.86666666666667
"90",42.88639832,-78.87809753,"She/hers","Heterosexual","White","22 - 30","Bachelor's Degree","Employed - Full Time","Northeastern United States","Strongly Disagree","Control","AWS",4,4,5,4,4,5,5,5,6,4,6,5,5,5,5,4.2,5,5.2,4.8
"91",33.56370544,-84.2111969,"She/hers","Heterosexual","White","41 - 50","Master's Degree","Employed - Full Time","Southeastern United States","Strongly Disagree","Treatment","AWS",6,7,6,6,6,6,4,4,1,1,6,7,6,6,6,6.2,3.2,6.2,5.2
"92",6.447402954,3.390304565,"She/hers","Heterosexual","African-American/Black","22 - 30","Some undergraduate college or post-secondary school","Employed - Full Time","Midwestern United States","Strongly Disagree","Treatment","AWS",7,7,7,7,7,7,7,1,7,1,7,5,7,6,7,7,4.6,6.4,6
"93",43.03559875,-72.51229858,"She/hers","Heterosexual","White","51 - 60","Master's Degree","Employed - Full Time","Northeastern United States","Strongly Disagree","Control","AWS",5,5,5,4,4,4,4,4,5,1,5,5,5,4,4,4.6,3.6,4.6,4.26666666666667
"94",43.68429565,-70.46800232,"She/hers","Heterosexual","White","31 - 40","Master's Degree","Employed - Full Time","Northeastern United States","Strongly Disagree","Treatment","AWS",6,5,6,5,5,2,1,1,2,1,4,4,3,3,4,5.4,1.4,3.6,3.46666666666667
"95",8.193893433,77.43139648,"He/his","Heterosexual","Asian/Asian American","22 - 30","Bachelor's Degree","Employed - Full Time","Southeastern United States","Strongly Disagree","Treatment","AWS",6,7,6,6,5,6,5,6,6,5,7,5,6,6,6,6,5.6,6,5.86666666666667
"96",9.966705322,76.23330688,"She/hers","Questioning","Asian/Asian American,Pacific Islander","22 - 30","Bachelor's Degree","Employed - Full Time,Student","Southwestern United States","Strongly Disagree","Treatment","AWS",7,7,6,7,6,6,7,6,6,6,7,7,7,7,6,6.6,6.2,6.8,6.53333333333333
"97",13.08430481,80.28048706,"He/his","Decline to state","Asian/Asian American","31 - 40","Master's Degree","Employed - Part Time","Northeastern United States","Strongly Disagree","Control","AWS",6,5,5,5,5,6,4,4,4,4,5,6,5,5,5,5.2,4.4,5.2,4.93333333333333
"98",39.14320374,-84.521698,"He/his","Heterosexual","White","31 - 40","Some undergraduate college or post-secondary school","Employed - Full Time","Midwestern United States","Strongly Disagree","Treatment","AWS",5,4,4,4,2,4,4,3,4,1,5,4,5,4,2,3.8,3.2,4,3.66666666666667
"99",42.05160522,12.6197052,"He/his","Gay/Lesbian","White","31 - 40","Bachelor's Degree","Employed - Full Time","Not located in United States","Strongly Disagree","Treatment","AWS",6,6,4,5,6,6,6,2,6,1,6,6,6,5,6,5.4,4.2,5.8,5.13333333333333
"100",32.94729614,-96.70279694,"She/hers","Bisexual","African-American/Black,White","22 - 30","Some undergraduate college or post-secondary school","Employed - Part Time,Student","Southwestern United States","Strongly Disagree","Treatment","AWS",5,5,4,5,5,6,5,5,3,5,6,3,6,6,4,4.8,4.8,5,4.86666666666667
"101",39.78909302,-85.80940247,"He/his","Heterosexual","White","Over 60","Some undergraduate college or post-secondary school","Retired","Midwestern United States","Strongly Disagree","Control","AWS",5,5,5,5,4,5,6,5,5,5,6,5,5,5,5,4.8,5.2,5.2,5.06666666666667
"102",37.75100708,-97.8219986,"She/hers","Heterosexual","White","Under 21","Some undergraduate college or post-secondary school","Student","Midwestern United States","Strongly Disagree","Treatment","AWS",6,7,6,6,6,3,3,2,4,2,6,6,6,6,6,6.2,2.8,6,5
"103",37.5625,-122.0003967,"He/his","Heterosexual","African-American/Black","41 - 50","Bachelor's Degree","Employed - Full Time","Southwestern United States","Strongly Disagree","Control","AWS",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"104",35.66239929,139.7036133,"She/hers","Heterosexual","Asian/Asian American","22 - 30","Bachelor's Degree","Employed - Full Time","Southeastern United States","Strongly Disagree","Control","AWS",6,6,7,7,6,6,6,7,6,7,6,6,6,7,7,6.4,6.4,6.4,6.4
"105",34.0368042,-5.000793457,"He/his","Heterosexual","White","22 - 30","Some undergraduate college or post-secondary school","Employed - Full Time","Northeastern United States","Strongly Disagree","Treatment","AWS",7,7,7,7,7,7,7,2,7,3,7,7,7,6,7,7,5.2,6.8,6.33333333333333
"106",43.65370178,-93.37069702,"She/hers","Heterosexual","White","41 - 50","Some undergraduate college or post-secondary school","Employed - Part Time","Midwestern United States","Strongly Disagree","Treatment","AWS",6,4,5,5,4,3,3,2,3,1,5,5,5,3,5,4.8,2.4,4.6,3.93333333333333
