StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_13,Q9_14,Q9_15,Q9_16,Q9_DO,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q20_9,Q20_10,Q20_11,Q20_12,Q20_13,Q20_14,Q20_15,Q20_16,Q20_DO,Random ID,FL_16_DO
2019-07-17 04:40:49,2019-07-17 04:41:42,IP Address,196.17.64.116,100,52,True,2019-07-17 04:41:42,R_2D6U4QUgZZXgMDR,,,,,34.0543975830078125,-118.2440032958984375,anonymous,EN,I agree and want to continue the survey,He/his,Bisexual,Hispanic/Latino,22 - 30,Bachelor's Degree,Employed - Full Time,Midwestern United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42996,BL_b7ALVqd7xfUPSC1
2019-07-17 04:40:27,2019-07-17 04:41:46,IP Address,165.225.38.21,100,79,True,2019-07-17 04:41:47,R_1P6PUDkSUeIyeDF,,,,,40.7653045654296875,-73.95890045166015625,anonymous,EN,I agree and want to continue the survey,He/his,Heterosexual,White,41 - 50,High School/GED,Employed - Full Time,Southeastern United States,,,,,,,,,,,,,,,,,,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Agree,Strongly Disagree,"This email is acceptable to send externally (for example, to a client).|Jordan is friendly.|I would feel comfortable approaching Jordan with problems or challenges.|Jordan is sincere.|This email is acceptable to send to individuals lower in the organizational hierarchy than Jordan.|Jordan is hardworking.|This email is acceptable to send to individuals higher in the organizational hierarchy than Jordan.|Jordan has a positive attitude.|I would like to work on a project led by Jordan.|Jordan is highly motivated and committed to their work.|I would like to work with Jordan.|Jordan is knowledgeable about their work.|This email is appropriate for the situation.|This email is acceptable to send to Jordan's peers at the same organizational level.|This is unrelated to the email. Select ""Strongly Disagree"" for this statement.|Jordan has leadership qualities.",86355,TreatmentEmail
2019-07-17 04:41:15,2019-07-17 04:41:56,IP Address,75.143.58.73,100,41,True,2019-07-17 04:41:56,R_3n8iv68GEBcCPrX,,,,,42.2704925537109375,-71.84470367431640625,anonymous,EN,I agree and want to continue the survey,He/his,Heterosexual,White,41 - 50,Master's Degree,Employed - Full Time,Northeastern United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31580,BL_b7ALVqd7xfUPSC1
2019-07-17 04:40:51,2019-07-17 04:41:57,IP Address,103.82.211.100,100,66,True,2019-07-17 04:41:57,R_31cS6pw1wS0PtjG,,,,,12.716705322265625,77.81671142578125,anonymous,EN,I agree and want to continue the survey,She/hers,Heterosexual,Decline to state,22 - 30,Bachelor's Degree,Employed - Part Time,Not located in United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57976,BL_b7ALVqd7xfUPSC1
2019-07-17 04:40:10,2019-07-17 04:42:04,IP Address,109.91.32.152,100,113,True,2019-07-17 04:42:04,R_1Penr3GKQ8KXZTz,,,,,50.210693359375,8.58050537109375,anonymous,EN,I agree and want to continue the survey,She/hers,Asexual,White,31 - 40,High School/GED,Retired,Not located in United States,,,,,,,,,,,,,,,,,,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Somewhat agree,Agree,Somewhat agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,"Jordan is hardworking.|This email is appropriate for the situation.|This email is acceptable to send externally (for example, to a client).|Jordan is knowledgeable about their work.|This email is acceptable to send to Jordan's peers at the same organizational level.|I would like to work on a project led by Jordan.|Jordan is sincere.|Jordan is highly motivated and committed to their work.|Jordan has leadership qualities.|I would like to work with Jordan.|I would feel comfortable approaching Jordan with problems or challenges.|This email is acceptable to send to individuals lower in the organizational hierarchy than Jordan.|This is unrelated to the email. Select ""Strongly Disagree"" for this statement.|This email is acceptable to send to individuals higher in the organizational hierarchy than Jordan.|Jordan has a positive attitude.|Jordan is friendly.",44823,TreatmentEmail
2019-07-17 04:41:25,2019-07-17 04:42:08,IP Address,72.52.87.93,100,43,True,2019-07-17 04:42:08,R_1itA3EI1011Fb0J,,,,,37.5625,-122.000396728515625,anonymous,EN,I agree and want to continue the survey,He/his,Heterosexual,African-American/Black,41 - 50,Bachelor's Degree,Employed - Full Time,Southwestern United States,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly Disagree,"Jordan is sincere.|This email is acceptable to send to Jordan's peers at the same organizational level.|This email is acceptable to send externally (for example, to a client).|I would like to work on a project led by Jordan.|Jordan is hardworking.|I would like to work with Jordan.|This is unrelated to the email. Select ""Strongly Disagree"" for this statement.|Jordan is knowledgeable about their work.|I would feel comfortable approaching Jordan with problems or challenges.|This email is acceptable to send to individuals lower in the organizational hierarchy than Jordan.|Jordan is highly motivated and committed to their work.|Jordan is friendly.|Jordan has a positive attitude.|This email is appropriate for the situation.|Jordan has leadership qualities.|This email is acceptable to send to individuals higher in the organizational hierarchy than Jordan.",,,,,,,,,,,,,,,,,,62120,ControlEmail
2019-07-17 04:40:20,2019-07-17 04:42:12,IP Address,107.12.26.16,100,111,True,2019-07-17 04:42:12,R_1r0287MaZKszK3N,,,,,34.755096435546875,-76.90689849853515625,anonymous,EN,I agree and want to continue the survey,He/his,Heterosexual,White,31 - 40,Master's Degree,Employed - Full Time,Southeastern United States,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Disagree,Agree,Disagree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Strongly Disagree,"This email is acceptable to send to individuals lower in the organizational hierarchy than Jordan.|Jordan is hardworking.|This email is acceptable to send to individuals higher in the organizational hierarchy than Jordan.|This is unrelated to the email. Select ""Strongly Disagree"" for this statement.|This email is acceptable to send externally (for example, to a client).|Jordan is friendly.|Jordan is highly motivated and committed to their work.|I would feel comfortable approaching Jordan with problems or challenges.|This email is appropriate for the situation.|Jordan is sincere.|Jordan has leadership qualities.|Jordan is knowledgeable about their work.|I would like to work with Jordan.|This email is acceptable to send to Jordan's peers at the same organizational level.|I would like to work on a project led by Jordan.|Jordan has a positive attitude.",,,,,,,,,,,,,,,,,,79600,ControlEmail
2019-07-17 04:40:56,2019-07-17 04:42:12,IP Address,88.66.137.247,100,76,True,2019-07-17 04:42:13,R_BDrKuLUHHdjJ0ch,,,,,48.8585052490234375,8.2095947265625,anonymous,EN,I agree and want to continue the survey,She/hers,Heterosexual,Decline to state,31 - 40,Some graduate college,Unemployed,Not located in United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96534,BL_b7ALVqd7xfUPSC1
2019-07-17 04:40:34,2019-07-17 04:42:16,IP Address,103.240.11.43,100,101,True,2019-07-17 04:42:17,R_27I570tHzN21oWD,,,,,19.216705322265625,73.0832977294921875,anonymous,EN,I agree and want to continue the survey,He/his,Heterosexual,Asian/Asian American,22 - 30,Bachelor's Degree,Employed - Full Time,Not located in United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82542,BL_b7ALVqd7xfUPSC1
2019-07-17 04:40:15,2019-07-17 04:42:17,IP Address,73.224.101.237,100,121,True,2019-07-17 04:42:17,R_2wcnV2YQ5OEvTqr,,,,,30.1222991943359375,-81.362701416015625,anonymous,EN,I agree and want to continue the survey,He/his,Heterosexual,White,Over 60,Master's Degree,Employed - Part Time,Southeastern United States,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Strongly agree,Agree,Strongly agree,Agree,Strongly Disagree,"Jordan is hardworking.|This email is appropriate for the situation.|Jordan has a positive attitude.|I would like to work with Jordan.|Jordan is friendly.|Jordan is sincere.|This email is acceptable to send externally (for example, to a client).|I would like to work on a project led by Jordan.|This is unrelated to the email. Select ""Strongly Disagree"" for this statement.|This email is acceptable to send to individuals higher in the organizational hierarchy than Jordan.|Jordan has leadership qualities.|This email is acceptable to send to individuals lower in the organizational hierarchy than Jordan.|Jordan is knowledgeable about their work.|This email is acceptable to send to Jordan's peers at the same organizational level.|Jordan is highly motivated and committed to their work.|I would feel comfortable approaching Jordan with problems or challenges.",,,,,,,,,,,,,,,,,,86553,ControlEmail
2019-07-17 04:41:54,2019-07-17 04:42:20,IP Address,91.218.226.5,100,26,True,2019-07-17 04:42:21,R_1gOsMO9qRXFn0Ep,,,,,45.470703125,9.18890380859375,anonymous,EN,I agree and want to continue the survey,She/hers,Heterosexual,White,22 - 30,Master's Degree,Employed - Full Time,Southeastern United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53889,BL_b7ALVqd7xfUPSC1
2019-07-17 04:40:49,2019-07-17 04:42:24,IP Address,71.250.210.251,100,94,True,2019-07-17 04:42:24,R_3qqIfFsM1sZJDWZ,,,,,40.6128997802734375,-74.4160003662109375,anonymous,EN,I agree and want to continue the survey,She/hers,Heterosexual,White,41 - 50,Master's Degree,Decline to state,Northeastern United States,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Agree,Strongly agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Strongly Disagree,"This email is acceptable to send externally (for example, to a client).|Jordan is highly motivated and committed to their work.|This email is acceptable to send to Jordan's peers at the same organizational level.|This email is acceptable to send to individuals lower in the organizational hierarchy than Jordan.|Jordan is knowledgeable about their work.|Jordan is hardworking.|This email is acceptable to send to individuals higher in the organizational hierarchy than Jordan.|Jordan has leadership qualities.|I would like to work with Jordan.|Jordan is friendly.|I would feel comfortable approaching Jordan with problems or challenges.|This email is appropriate for the situation.|Jordan has a positive attitude.|Jordan is sincere.|This is unrelated to the email. Select ""Strongly Disagree"" for this statement.|I would like to work on a project led by Jordan.",,,,,,,,,,,,,,,,,,26902,ControlEmail
2019-07-17 04:40:53,2019-07-17 04:42:29,IP Address,196.110.25.166,100,96,True,2019-07-17 04:42:30,R_3m4d54r2irHtkKJ,,,,,-1.2841033935546875,36.8155059814453125,anonymous,EN,I agree and want to continue the survey,He/his,Heterosexual,African-American/Black,22 - 30,Bachelor's Degree,Employed - Full Time,Southeastern United States,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly Disagree,"This email is acceptable to send to individuals lower in the organizational hierarchy than Jordan.|This email is acceptable to send externally (for example, to a client).|Jordan is highly motivated and committed to their work.|Jordan has leadership qualities.|Jordan is knowledgeable about their work.|This email is appropriate for the situation.|Jordan has a positive attitude.|This email is acceptable to send to individuals higher in the organizational hierarchy than Jordan.|Jordan is sincere.|I would feel comfortable approaching Jordan with problems or challenges.|This email is acceptable to send to Jordan's peers at the same organizational level.|Jordan is hardworking.|Jordan is friendly.|This is unrelated to the email. Select ""Strongly Disagree"" for this statement.|I would like to work with Jordan.|I would like to work on a project led by Jordan.",58333,TreatmentEmail
2019-07-17 04:40:31,2019-07-17 04:42:29,IP Address,171.49.203.25,100,117,True,2019-07-17 04:42:30,R_3MPZlE8jUvrWqZt,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,I agree and want to continue the survey,She/hers,Bisexual,Asian/Asian American,22 - 30,Bachelor's Degree,Employed - Full Time,Southeastern United States,,,,,,,,,,,,,,,,,,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly Disagree,"Jordan is friendly.|This email is acceptable to send to individuals lower in the organizational hierarchy than Jordan.|This email is appropriate for the situation.|Jordan has a positive attitude.|Jordan is hardworking.|Jordan has leadership qualities.|Jordan is sincere.|I would like to work with Jordan.|Jordan is knowledgeable about their work.|I would feel comfortable approaching Jordan with problems or challenges.|This is unrelated to the email. Select ""Strongly Disagree"" for this statement.|This email is acceptable to send to Jordan's peers at the same organizational level.|This email is acceptable to send to individuals higher in the organizational hierarchy than Jordan.|Jordan is highly motivated and committed to their work.|I would like to work on a project led by Jordan.|This email is acceptable to send externally (for example, to a client).",24133,TreatmentEmail
